"","Chromosome","Start","End","Feature","205122170045_R04C01","205122170071_R01C01","205125590021_R02C01","205125590067_R07C01","205125590068_R01C01","205128000076_R07C01","205240110063_R01C01","205243940036_R02C01","205243940046_R04C01","205243940058_R04C01","205243940065_R07C01","205243940107_R05C01","205289430139_R07C01"
"chr13-020","chr13",38000001,39000000,"chr13-020",-0.306,0.146,0.25,-0.235,-0.398,-0.257,0.141,0.103,0.091,-0.315,-0.184,-0.275,0.176
"chr13-021","chr13",39000001,40000000,"chr13-021",-0.355,0.088,0.131,-0.29,-0.416,-0.248,-0.093,0.05,0.052,-0.302,-0.337,-0.307,0.073
"chr13-022","chr13",40000001,41000000,"chr13-022",-0.353,0.067,0.175,-0.272,-0.371,-0.301,-0.035,0.049,-0.366,-0.329,-0.369,-0.34,0.027
"chr13-023","chr13",41000001,42000000,"chr13-023",-0.475,0.017,0.049,-0.347,-0.461,-0.371,-0.015,-0.068,-0.351,-0.41,-0.438,-0.465,-0.046
"chr13-024","chr13",42000001,43000000,"chr13-024",-0.415,0.04,0.105,-0.337,-0.426,-0.325,-0.03,0.022,-0.411,-0.379,-0.416,-0.412,0.041
"chr13-025","chr13",43000001,44000000,"chr13-025",-0.403,-0.012,0.173,-0.376,-0.465,-0.322,0.014,0.007,-0.364,-0.379,-0.522,-0.4,0.007
"chr13-026","chr13",44000001,45000000,"chr13-026",-0.367,0.066,0.137,-0.266,-0.387,-0.336,0.013,0.001,-0.386,-0.325,-0.338,-0.327,0.028
"chr13-027","chr13",45000001,46000000,"chr13-027",-0.513,0.023,0.071,-0.339,-0.471,-0.387,-0.019,-0.058,-0.423,-0.424,-0.492,-0.495,-0.082
"chr13-028","chr13",46000001,47000000,"chr13-028",-0.414,0.015,0.131,-0.343,-0.465,-0.295,-0.044,0.009,-0.383,-0.358,-0.508,-0.404,0.01
"chr13-029","chr13",47000001,48000000,"chr13-029",-0.386,0.036,0.16,-0.315,-0.423,-0.294,-0.007,0.058,-0.346,-0.335,-0.453,-0.361,0.028
"chr13-030","chr13",48000001,49000000,"chr13-030",-0.548,-0.425,0.035,-0.352,-0.461,-0.386,0.017,-0.369,-0.388,-0.476,-0.456,-0.53,-0.419
"chr13-031","chr13",49000001,50000000,"chr13-031",-0.414,-0.437,0.158,-0.317,-0.428,-0.345,0.033,-0.304,-0.359,-0.392,-0.462,-0.401,-0.362
"chr13-032","chr13",50000001,51000000,"chr13-032",-0.511,-0.439,0.022,-0.341,-0.441,-0.414,0.005,-0.379,-0.334,-0.449,-0.379,-0.498,-0.402
"chr13-033","chr13",51000001,52000000,"chr13-033",-0.323,-0.382,0.15,-0.254,-0.357,-0.303,0.03,-0.27,-0.035,-0.351,-0.301,-0.306,-0.296
"chr13-034","chr13",52000001,53000000,"chr13-034",-0.43,-0.419,0.055,-0.279,-0.394,-0.341,-0.022,-0.318,-0.028,-0.392,-0.407,-0.404,-0.352
"chr13-035","chr13",53000001,54000000,"chr13-035",-0.467,-0.442,0.068,-0.287,-0.412,-0.373,0.008,-0.34,-0.007,-0.442,-0.379,-0.409,-0.322
"chr13-036","chr13",54000001,55000000,"chr13-036",-0.256,-0.623,0.248,-0.329,-0.463,-0.171,-0.329,-0.184,0.089,-0.263,-0.331,-0.21,-0.296
"chr13-037","chr13",55000001,56000000,"chr13-037",-0.332,-0.478,0.135,-0.27,-0.449,-0.226,-0.259,-0.19,0.18,-0.319,-0.264,-0.346,-0.3
"chr13-038","chr13",56000001,57000000,"chr13-038",-0.353,-0.556,0.159,-0.434,-0.543,-0.205,-0.245,-0.275,0.292,-0.253,-0.426,-0.386,-0.35
"chr13-039","chr13",57000001,58000000,"chr13-039",-0.405,-0.386,0.063,-0.322,-0.441,-0.246,-0.08,-0.249,0.154,-0.289,-0.304,-0.288,-0.186
"chr13-040","chr13",58000001,59000000,"chr13-040",-0.294,-0.174,0.195,-0.262,-0.336,-0.224,0.045,-0.218,0.307,-0.27,-0.252,-0.245,-0.222
"chr13-041","chr13",59000001,60000000,"chr13-041",-0.397,-0.561,0.11,-0.383,-0.491,-0.297,0.013,-0.296,0,-0.327,-0.492,-0.315,-0.323
"chr13-042","chr13",60000001,61000000,"chr13-042",-0.353,-0.419,0.174,-0.319,-0.381,-0.267,0.044,-0.263,0.051,-0.307,-0.39,-0.277,-0.326
"chr13-043","chr13",61000001,62000000,"chr13-043",-0.348,-0.381,0.169,-0.282,-0.411,-0.267,-0.002,-0.236,0.074,-0.327,-0.36,-0.283,-0.253
"chr13-044","chr13",62000001,63000000,"chr13-044",-0.25,-0.353,0.263,-0.252,-0.379,-0.212,-0.111,-0.195,-0.006,-0.281,-0.162,-0.205,-0.184
"chr13-045","chr13",63000001,64000000,"chr13-045",-0.373,-0.358,0.111,-0.465,-0.517,-0.322,-0.273,-0.242,-0.008,-0.352,-0.54,-0.392,-0.202
"chr13-046","chr13",64000001,65000000,"chr13-046",-0.347,0.066,0.048,-0.461,-0.407,-0.253,-0.193,0.018,-0.032,-0.297,-0.36,-0.354,0.017
"chr13-047","chr13",65000001,66000000,"chr13-047",-0.282,0.114,0.152,-0.289,-0.398,-0.251,-0.1,0.067,0.053,-0.252,-0.253,-0.246,0.077
"chr13-048","chr13",66000001,67000000,"chr13-048",-0.388,0.029,0.187,-0.44,-0.487,-0.247,-0.067,0.126,0.036,-0.336,-0.529,-0.281,0.116
"chr13-049","chr13",67000001,68000000,"chr13-049",0.203,0.162,0.214,0.529,0.009,0.462,-0.04,0.166,0.059,0.495,0.29,0.583,0.192
"chr13-050","chr13",68000001,69000000,"chr13-050",0.102,0.048,0.061,0.482,-0.075,0.423,-0.225,0.077,0.008,0.455,0.259,0.521,0.143
"chr13-051","chr13",69000001,70000000,"chr13-051",0.262,0.174,0.161,0.424,0.058,0.381,-0.021,0.101,0.021,0.544,0.308,0.556,0.134
"chr13-052","chr13",70000001,71000000,"chr13-052",0.224,0.076,0.466,0.576,0.028,0.523,0.181,0.114,0.065,0.58,0.269,0.563,0.183
"chr13-053","chr13",71000001,72000000,"chr13-053",0.148,0.088,0.466,0.429,0.058,0.419,0.157,0.057,0.047,0.441,0.199,0.503,0.106
"chr13-054","chr13",72000001,73000000,"chr13-054",0.362,0.012,0.401,0.454,0.196,0.518,0.082,0.108,0.001,0.502,0.383,0.548,0.069
"chr13-055","chr13",73000001,74000000,"chr13-055",0.223,0.056,0.359,0.334,0.149,0.397,0.214,0.005,-0.006,0.375,0.271,0.383,0.002
"chr13-056","chr13",74000001,75000000,"chr13-056",0.292,0.068,0.397,0.424,0.165,0.447,0.315,0.067,0.014,0.424,0.317,0.47,0.061
"chr13-057","chr13",75000001,76000000,"chr13-057",0.265,0.046,0.397,0.369,0.155,0.42,0.283,0.047,0.208,0.409,0.31,0.441,0.057
"chr13-058","chr13",76000001,77000000,"chr13-058",0.208,0.061,0.318,0.37,0.12,0.373,0.276,0.007,0.22,0.39,0.314,0.401,0.005
"chr13-059","chr13",77000001,78000000,"chr13-059",0.225,0.071,0.329,0.388,0.158,0.378,0.281,0.051,0.239,0.409,0.381,0.41,0.045
"chr13-060","chr13",78000001,79000000,"chr13-060",0.288,0.083,0.358,0.436,0.196,0.423,0.247,0.088,0.307,0.452,0.377,0.519,0.086
"chr13-061","chr13",79000001,80000000,"chr13-061",0.272,0.079,0.32,0.416,0.179,0.425,0.159,0.085,0.248,0.408,0.389,0.485,0.057
"chr13-062","chr13",80000001,81000000,"chr13-062",0.245,0.067,0.357,0.358,0.171,0.393,0.225,0.065,0.224,0.423,0.363,0.459,0.065
"chr13-063","chr13",81000001,82000000,"chr13-063",0.312,0.062,0.445,0.391,0.177,0.447,0.151,0.13,0.301,0.486,0.364,0.524,0.07
"chr13-064","chr13",82000001,83000000,"chr13-064",0.364,0.059,0.441,0.504,0.252,0.528,0.05,0.2,0.338,0.564,0.543,0.637,0.177
"chr13-065","chr13",83000001,84000000,"chr13-065",0.442,0.023,0.521,0.491,0.298,0.544,0.264,0.222,0.385,0.583,0.525,0.604,0.194
"chr13-066","chr13",84000001,85000000,"chr13-066",0.388,0.166,0.462,0.541,0.254,0.523,0.21,0.139,0.393,0.579,0.445,0.582,0.157
"chr13-067","chr13",85000001,86000000,"chr13-067",0.315,0.059,0.507,0.445,0.242,0.502,0.094,0.118,0.28,0.581,0.431,0.523,0.072
"chr13-068","chr13",86000001,86760324,"chr13-068",0.491,0.224,0.582,0.569,0.292,0.606,0.223,0.253,0.411,0.672,0.591,0.759,0.246
"chr13-069","chr13",86910325,88000000,"chr13-069",0.208,0.126,0.445,0.418,0.136,0.459,0.209,0.117,0.225,0.466,0.397,0.412,0.128
"chr13-070","chr13",88000001,89000000,"chr13-070",0.248,0.084,0.283,0.381,0.195,0.358,0.109,0.08,0.264,0.385,0.4,0.473,0.127
"chr13-071","chr13",89000001,90000000,"chr13-071",0.431,0.077,0.458,0.445,0.24,0.51,0.139,0.157,0.353,0.506,0.491,0.528,0.1
"chr13-072","chr13",90000001,91000000,"chr13-072",0.31,0.063,0.466,0.491,0.16,0.48,0.132,0.087,0.318,0.495,0.462,0.525,0.065
"chr13-073","chr13",91000001,92000000,"chr13-073",0.312,0.047,0.356,0.412,0.249,0.437,0.19,0.045,0.283,0.489,0.343,0.487,0.034
"chr13-074","chr13",92000001,93000000,"chr13-074",0.313,0.173,0.424,0.458,0.293,0.51,0.296,0.086,0.306,0.489,0.464,0.55,0.143
"chr13-075","chr13",93000001,94000000,"chr13-075",0.323,0.134,0.485,0.457,0.25,0.48,0.341,0.096,0.323,0.53,0.431,0.558,0.045
"chr13-076","chr13",94000001,95000000,"chr13-076",0.324,0.138,0.445,0.478,0.21,0.48,0.33,0.132,0.321,0.501,0.408,0.537,0.083
"chr13-077","chr13",95000001,96000000,"chr13-077",0.174,0.023,0.289,0.328,0.151,0.351,0.179,-0.013,0.195,0.368,0.284,0.371,-0.018
"chr13-078","chr13",96000001,97000000,"chr13-078",0.157,0.061,0.263,0.309,0.11,0.314,0.225,0.009,0.185,0.325,0.306,0.344,0.017
"chr13-079","chr13",97000001,98000000,"chr13-079",0.452,0.085,0.443,0.398,0.192,0.468,0.294,0.081,0.284,0.472,0.356,0.487,0.023
"chr13-080","chr13",98000001,99000000,"chr13-080",0.333,0.029,0.269,0.275,0.079,0.321,0.205,-0.002,-0.022,0.35,0.214,0.327,-0.063
"chr13-081","chr13",99000001,100000000,"chr13-081",0.341,0.024,0.286,0.259,0.076,0.319,0.213,0.009,-0.019,0.294,0.188,0.352,-0.007
"chr13-082","chr13",100000001,101000000,"chr13-082",0.366,0.026,0.279,0.3,0.093,0.346,0.204,0.003,-0.021,0.324,0.236,0.349,-0.002
"chr13-083","chr13",101000001,102000000,"chr13-083",0.374,0.048,0.291,0.305,0.1,0.328,0.187,0.01,-0.03,0.33,0.278,0.388,0.008
"chr13-084","chr13",102000001,103000000,"chr13-084",0.475,0.108,0.376,0.406,0.189,0.428,0.112,0.131,0.036,0.432,0.397,0.507,0.105
"chr13-085","chr13",103000001,104000000,"chr13-085",0.403,0.062,0.291,0.363,0.136,0.387,0.159,0.02,0.001,0.354,0.324,0.401,0.001
"chr13-086","chr13",104000001,105000000,"chr13-086",0.604,0.127,0.445,0.494,0.299,0.557,0.084,0.196,0.095,0.557,0.471,0.618,0.114
"chr13-087","chr13",105000001,106000000,"chr13-087",0.517,0.101,0.426,0.411,0.156,0.446,0.062,0.157,0.122,0.436,0.339,0.55,0.067
"chr13-088","chr13",106000001,107000000,"chr13-088",0.469,0.052,0.457,0.404,0.173,0.433,0.17,0.093,0.284,0.436,0.346,0.517,0.072
"chr13-089","chr13",107000001,108000000,"chr13-089",0.388,0.086,0.286,0.324,0.17,0.349,0.17,0.034,0.235,0.35,0.276,0.408,0.013
"chr13-090","chr13",108000001,109000000,"chr13-090",0.472,0.128,0.296,0.395,0.189,0.451,0.093,0.111,0.272,0.399,0.363,0.469,0.062
"chr13-091","chr13",109000001,110000000,"chr13-091",0.442,0.058,0.377,0.367,0.159,0.377,0.137,0.051,0.243,0.404,0.299,0.437,0.022
"chr13-092","chr13",110000001,111000000,"chr13-092",0.363,0.072,0.298,0.305,0.101,0.293,0.169,0.038,0.057,0.333,0.276,0.383,0.024
"chr13-093","chr13",111000001,112000000,"chr13-093",0.292,0.048,0.216,0.237,0.063,0.241,0.216,-0.009,-0.05,0.24,0.23,0.314,-0.006
"chr13-094","chr13",112000001,112353994,"chr13-094",0.378,0.071,0.212,0.277,0.093,0.311,0.149,0.015,-0.018,0.32,0.255,0.361,0.013
"chr13-095","chr13",112503995,113000000,"chr13-095",0.39,0.002,0.199,0.294,0.128,0.355,0.128,0.027,-0.012,0.326,0.278,0.393,0.043
"chr13-096","chr13",113000001,114000000,"chr13-096",0.239,-0.012,0.166,0.174,0.012,0.224,0.17,-0.044,0.05,0.201,0.162,0.247,-0.021
"chr13-097","chr13",114000001,114325993,"chr13-097",0.155,-0.057,0.151,0.065,-0.12,0.165,0.174,-0.051,-0.1,0.152,0.037,0.097,-0.051
"chr13-098","chr13",114739949,115000000,"chr13-098",0.123,-0.014,0.164,0.031,-0.202,0.099,0.193,-0.028,-0.097,0.125,-0.003,0.007,-0.017
"chr13-099","chr13",115000001,115109878,"chr13-099",0.163,0.05,0.252,0.182,-0.138,0.14,0.281,-0.057,-0.104,0.129,0.14,-0.037,-0.067
"chr14-001","chr14",19000001,20000000,"chr14-001",-0.21,0.014,0.204,-0.24,-0.27,-0.185,0.22,-0.101,-0.09,-0.086,-0.254,-0.218,-0.097
"chr14-002","chr14",20000001,21000000,"chr14-002",0.011,0.073,0.351,0.058,0.096,0.096,0.372,-0.009,-0.044,0.097,0.081,0.077,-0.005
"chr14-003","chr14",21000001,22000000,"chr14-003",0.067,-0.014,0.297,0.127,0.13,0.117,0.321,-0.048,0.006,0.134,0.104,0.135,-0.043
"chr14-004","chr14",22000001,23000000,"chr14-004",0.188,-0.015,0.4,0.184,0.206,0.194,0.359,0.015,-0.005,0.227,0.19,0.271,-0.011
"chr14-005","chr14",23000001,24000000,"chr14-005",0.038,0.028,0.301,0.102,0.103,0.079,0.351,-0.07,0.011,0.105,0.155,0.096,-0.059
"chr14-006","chr14",24000001,25000000,"chr14-006",0,0.034,0.247,0.084,0.087,0.022,0.328,-0.061,-0.006,0.06,0.16,0.087,-0.012
"chr14-007","chr14",25000001,26000000,"chr14-007",0.137,0.033,0.44,0.11,0.168,0.193,0.257,0.083,0.085,0.211,0.135,0.248,0.081
"chr14-008","chr14",26000001,27000000,"chr14-008",0.142,0.061,0.41,0.073,0.136,0.208,0.322,0.061,0.054,0.226,0.131,0.2,-0.001
"chr14-009","chr14",27000001,28000000,"chr14-009",0.246,0.098,0.579,0.219,0.258,0.288,0.526,0.153,0.049,0.295,0.292,0.323,0.124
"chr14-010","chr14",28000001,29000000,"chr14-010",0.246,0.14,0.462,0.152,0.239,0.271,0.489,0.145,0.058,0.269,0.271,0.364,0.242
"chr14-011","chr14",29000001,30000000,"chr14-011",0.178,0.072,0.257,0.178,0.186,0.253,0.158,0.09,0.043,0.245,0.328,0.265,0.067
"chr14-012","chr14",30000001,31000000,"chr14-012",0.149,0.069,0.016,0.165,0.166,0.206,-0.196,0.069,0.075,0.205,0.247,0.221,0.09
"chr14-013","chr14",31000001,32000000,"chr14-013",0,0.008,0.169,0.05,0.092,0.121,0.201,-0.039,-0.005,0.091,0.096,0.047,-0.047
"chr14-014","chr14",32000001,33000000,"chr14-014",0.104,0.08,0.237,0.129,0.116,0.17,0.227,0.037,0.044,0.165,0.173,0.172,0.069
"chr14-015","chr14",33000001,34000000,"chr14-015",0.135,0.066,0.261,0.141,0.159,0.177,0.211,0.068,0.028,0.18,0.241,0.194,0.083
"chr14-016","chr14",34000001,35000000,"chr14-016",0.042,0.069,0.215,0.113,0.096,0.145,0.17,0,0.039,0.137,0.063,0.111,-0.011
"chr14-017","chr14",35000001,36000000,"chr14-017",-0.037,0.041,0.15,0.074,0.079,0.069,0.187,-0.081,-0.012,0.058,0.085,0.049,-0.084
"chr14-018","chr14",36000001,37000000,"chr14-018",-0.079,0.042,0.183,0.002,-0.055,-0.009,0.151,0.029,0.027,-0.043,0.016,-0.028,0.067
"chr14-019","chr14",37000001,38000000,"chr14-019",-0.091,0.047,0.214,-0.021,-0.07,-0.019,0.181,0.04,0.053,-0.07,0.026,-0.049,0.078
"chr14-020","chr14",38000001,39000000,"chr14-020",-0.361,0.088,0.154,-0.231,-0.323,-0.262,0.116,0.094,0.085,-0.367,-0.3,-0.307,0.11
"chr14-021","chr14",39000001,40000000,"chr14-021",-0.196,0.028,0.117,-0.047,-0.095,-0.087,0.139,-0.073,-0.01,-0.122,-0.093,-0.128,-0.049
"chr14-022","chr14",40000001,41000000,"chr14-022",-0.032,0.09,0.268,0.01,-0.05,0.06,0.022,0.118,0.04,0.057,-0.02,0.1,0.089
"chr14-023","chr14",41000001,42000000,"chr14-023",0.041,0.187,0.08,-0.052,-0.098,-0.007,-0.248,0.192,0.077,0.048,0.161,0.014,0.209
"chr14-024","chr14",42000001,43000000,"chr14-024",0.006,0.191,-0.085,0.118,0.069,-0.057,-0.461,0.1,0.09,-0.032,0.168,0.119,0.139
"chr14-025","chr14",43000001,44000000,"chr14-025",-0.011,0.053,0.044,-0.126,-0.087,0.056,-0.34,0.055,0.137,0.093,0.012,0.097,0.056
"chr14-026","chr14",44000001,45000000,"chr14-026",-0.093,0.038,-0.043,-0.049,-0.078,0.02,-0.513,0.093,0.094,-0.019,-0.142,-0.069,0.066
"chr14-027","chr14",45000001,46000000,"chr14-027",-0.095,0.122,-0.042,0.001,-0.02,-0.035,-0.163,0.023,0.019,-0.039,0.001,-0.034,0.051
"chr14-028","chr14",46000001,47000000,"chr14-028",0.091,0.136,-0.06,0.041,-0.061,0.109,-0.567,0.298,-0.104,0.102,0.053,0.143,0.244
"chr14-029","chr14",47000001,48000000,"chr14-029",-0.026,0.053,-0.079,-0.058,-0.084,0.083,-0.452,0.074,0.068,0.075,-0.037,0.026,0.046
"chr14-030","chr14",48000001,49000000,"chr14-030",-0.261,-0.07,-0.264,-0.107,-0.145,-0.128,-0.372,-0.033,-0.036,-0.144,-0.076,-0.166,0.05
"chr14-031","chr14",49000001,50000000,"chr14-031",-0.027,-0.06,-0.027,-0.02,-0.08,0.036,-0.625,0.086,0.041,0.043,-0.131,-0.044,0.044
"chr14-032","chr14",50000001,51000000,"chr14-032",-0.218,0.006,-0.108,-0.075,-0.062,-0.108,-0.198,-0.07,0.002,-0.153,-0.077,-0.156,-0.055
"chr14-033","chr14",51000001,52000000,"chr14-033",-0.14,0.015,-0.065,-0.034,-0.059,-0.068,-0.228,-0.002,0.023,-0.079,-0.043,-0.07,0.004
"chr14-034","chr14",52000001,53000000,"chr14-034",-0.057,0.049,-0.007,0.004,-0.035,-0.017,-0.182,0.054,0.041,-0.001,0.015,-0.001,0.028
"chr14-035","chr14",53000001,54000000,"chr14-035",-0.16,0.027,-0.089,-0.049,-0.084,-0.09,-0.255,-0.02,0.004,-0.086,-0.051,-0.141,-0.023
"chr14-036","chr14",54000001,55000000,"chr14-036",-0.138,0.054,-0.076,-0.054,-0.065,-0.033,-0.235,0.029,0.022,-0.085,-0.075,-0.069,0.019
"chr14-037","chr14",55000001,56000000,"chr14-037",-0.177,0.036,-0.078,-0.067,-0.075,-0.066,-0.24,-0.043,-0.01,-0.105,-0.116,-0.126,-0.05
"chr14-038","chr14",56000001,57000000,"chr14-038",-0.103,0.016,-0.054,-0.041,-0.071,-0.016,-0.257,0.015,0.037,-0.03,-0.137,-0.034,0.013
"chr14-039","chr14",57000001,58000000,"chr14-039",-0.159,0.018,-0.106,-0.079,-0.114,-0.043,-0.33,0.033,0.035,-0.097,-0.15,-0.117,0.048
"chr14-040","chr14",58000001,59000000,"chr14-040",-0.469,0.039,-0.038,-0.222,-0.32,-0.364,-0.195,0.001,0.013,-0.434,-0.416,-0.448,0.011
"chr14-041","chr14",59000001,60000000,"chr14-041",-0.41,0.057,0.206,-0.268,-0.368,-0.312,0.173,0.038,0.043,-0.382,-0.5,-0.362,0.024
"chr14-042","chr14",60000001,61000000,"chr14-042",-0.449,0.088,0.175,-0.254,-0.347,-0.333,0.197,0.025,0.034,-0.426,-0.35,-0.415,0.084
"chr14-043","chr14",61000001,62000000,"chr14-043",-0.472,0.062,0.188,-0.291,-0.398,-0.345,0.163,0.015,0.035,-0.402,-0.463,-0.454,0.017
"chr14-044","chr14",62000001,63000000,"chr14-044",-0.384,0.055,0.235,-0.27,-0.353,-0.28,0.139,0.029,0.061,-0.337,-0.499,-0.365,-0.006
"chr14-045","chr14",63000001,64000000,"chr14-045",-0.466,0.026,0.166,-0.309,-0.399,-0.318,0.099,0.014,0.028,-0.358,-0.519,-0.384,0.02
"chr14-046","chr14",64000001,65000000,"chr14-046",-0.494,0.003,0.125,-0.297,-0.379,-0.388,0.14,-0.065,-0.019,-0.436,-0.467,-0.472,-0.045
"chr14-047","chr14",65000001,66000000,"chr14-047",-0.476,0.028,0.118,-0.273,-0.354,-0.378,0.118,-0.066,-0.007,-0.422,-0.448,-0.452,-0.046
"chr14-048","chr14",66000001,67000000,"chr14-048",-0.386,0.018,0.221,-0.263,-0.363,-0.305,0.139,0.036,0.024,-0.361,-0.446,-0.344,0.025
"chr14-049","chr14",67000001,68000000,"chr14-049",-0.524,-0.007,0.139,-0.318,-0.405,-0.373,0.175,-0.026,-0.01,-0.443,-0.462,-0.497,0.002
"chr14-050","chr14",68000001,69000000,"chr14-050",-0.252,0.04,0.207,-0.251,-0.344,-0.368,0.161,-0.002,0.023,-0.361,-0.433,-0.365,-0.024
"chr14-051","chr14",69000001,70000000,"chr14-051",-0.241,0.033,0.132,-0.198,-0.312,-0.416,0.154,-0.038,0.003,-0.416,-0.283,-0.372,-0.018
"chr14-052","chr14",70000001,71000000,"chr14-052",-0.463,0.008,0.139,-0.281,-0.365,-0.364,0.126,-0.014,0.011,-0.437,-0.481,-0.413,-0.029
"chr14-053","chr14",71000001,72000000,"chr14-053",-0.514,-0.173,0.333,-0.365,-0.417,-0.372,0.38,-0.143,0.005,-0.427,-0.577,-0.437,-0.188
"chr14-054","chr14",72000001,73000000,"chr14-054",-0.427,-0.554,0.458,-0.323,-0.385,-0.319,0.464,-0.323,0.034,-0.397,-0.506,-0.374,-0.399
"chr14-055","chr14",73000001,74000000,"chr14-055",-0.524,-0.511,0.221,-0.344,-0.416,-0.415,0.259,-0.427,-0.028,-0.454,-0.546,-0.529,-0.469
"chr14-056","chr14",74000001,75000000,"chr14-056",-0.565,-0.465,0.218,-0.336,-0.407,-0.449,0.314,-0.416,-0.041,-0.518,-0.472,-0.563,-0.432
"chr14-057","chr14",75000001,76000000,"chr14-057",-0.514,-0.429,0.129,-0.306,-0.397,-0.395,0.121,-0.397,-0.022,-0.465,-0.501,-0.495,-0.422
"chr14-058","chr14",76000001,77000000,"chr14-058",-0.441,-0.468,-0.11,-0.284,-0.362,-0.349,-0.256,-0.364,0.006,-0.411,-0.492,-0.408,-0.401
"chr14-059","chr14",77000001,78000000,"chr14-059",-0.49,-0.393,-0.144,-0.256,-0.281,-0.415,-0.206,-0.351,-0.022,-0.471,-0.352,-0.434,-0.334
"chr14-060","chr14",78000001,79000000,"chr14-060",-0.493,-0.478,-0.123,-0.304,-0.363,-0.33,-0.377,-0.403,0.004,-0.444,-0.53,-0.477,-0.438
"chr14-061","chr14",79000001,80000000,"chr14-061",-0.321,-0.522,-0.05,-0.273,-0.321,-0.299,-0.391,-0.277,0.041,-0.314,-0.403,-0.291,-0.367
"chr14-062","chr14",80000001,81000000,"chr14-062",-0.334,-0.518,0,-0.331,-0.379,-0.275,-0.276,-0.291,0.055,-0.313,-0.47,-0.326,-0.331
"chr14-063","chr14",81000001,82000000,"chr14-063",-0.407,-0.489,-0.028,-0.293,-0.364,-0.318,-0.285,-0.338,0.027,-0.355,-0.436,-0.372,-0.383
"chr14-064","chr14",82000001,83000000,"chr14-064",-0.354,-0.476,-0.008,-0.236,-0.306,-0.273,-0.253,-0.27,0.068,-0.29,-0.385,-0.311,-0.304
"chr14-065","chr14",83000001,84000000,"chr14-065",-0.337,-0.549,-0.001,-0.324,-0.379,-0.241,-0.323,-0.189,0.021,-0.292,-0.447,-0.279,-0.313
"chr14-066","chr14",84000001,85000000,"chr14-066",-0.343,-0.598,0.041,-0.364,-0.41,-0.259,-0.287,-0.272,0.124,-0.292,-0.494,-0.295,-0.309
"chr14-067","chr14",85000001,86000000,"chr14-067",-0.319,-0.476,0.034,-0.26,-0.318,-0.297,-0.252,-0.282,0.069,-0.332,-0.421,-0.278,-0.327
"chr14-068","chr14",86000001,87000000,"chr14-068",-0.342,-0.488,-0.049,-0.355,-0.381,-0.236,-0.23,-0.288,0.099,-0.304,-0.481,-0.325,-0.336
"chr14-069","chr14",87000001,88000000,"chr14-069",-0.363,-0.603,-0.02,-0.331,-0.421,-0.257,-0.441,-0.354,0.051,-0.297,-0.478,-0.338,-0.428
"chr14-070","chr14",88000001,89000000,"chr14-070",-0.369,-0.564,-0.093,-0.293,-0.355,-0.307,-0.42,-0.317,0.029,-0.341,-0.422,-0.344,-0.366
"chr14-071","chr14",89000001,90000000,"chr14-071",-0.45,-0.435,-0.102,-0.311,-0.38,-0.357,-0.255,-0.353,-0.017,-0.421,-0.516,-0.436,-0.422
"chr14-072","chr14",90000001,91000000,"chr14-072",-0.465,-0.279,-0.094,-0.339,-0.36,-0.373,-0.234,-0.237,0.018,-0.415,-0.455,-0.439,-0.28
"chr14-073","chr14",91000001,92000000,"chr14-073",-0.482,0.02,-0.137,-0.306,-0.359,-0.406,-0.231,-0.046,-0.03,-0.443,-0.342,-0.423,-0.017
"chr14-074","chr14",92000001,93000000,"chr14-074",-0.468,-0.017,-0.133,-0.304,-0.38,-0.385,-0.246,-0.052,-0.012,-0.446,-0.457,-0.449,-0.055
"chr14-075","chr14",93000001,94000000,"chr14-075",-0.524,-0.024,-0.121,-0.343,-0.404,-0.407,-0.247,-0.068,-0.035,-0.474,-0.467,-0.481,-0.058
"chr14-076","chr14",94000001,95000000,"chr14-076",-0.36,0.035,-0.07,-0.222,-0.293,-0.346,-0.227,-0.004,0.021,-0.374,-0.321,-0.301,0.033
"chr14-077","chr14",95000001,96000000,"chr14-077",-0.417,0.047,-0.137,-0.282,-0.355,-0.37,-0.312,0.018,0.019,-0.374,-0.392,-0.379,0.018
"chr14-078","chr14",96000001,97000000,"chr14-078",-0.474,0.01,-0.129,-0.285,-0.349,-0.415,-0.273,-0.038,-0.006,-0.463,-0.397,-0.425,0.002
"chr14-079","chr14",97000001,98000000,"chr14-079",-0.396,-0.033,-0.107,-0.289,-0.344,-0.333,-0.365,-0.005,0.028,-0.383,-0.447,-0.329,0.009
"chr14-080","chr14",98000001,99000000,"chr14-080",-0.427,0.022,-0.102,-0.303,-0.355,-0.37,-0.507,0.036,0.071,-0.391,-0.615,-0.333,0.052
"chr14-081","chr14",99000001,100000000,"chr14-081",-0.454,-0.03,-0.161,-0.322,-0.372,-0.378,-0.36,-0.013,0.003,-0.429,-0.465,-0.416,-0.016
"chr14-082","chr14",100000001,101000000,"chr14-082",-0.506,-0.019,-0.154,-0.325,-0.394,-0.416,-0.207,-0.068,-0.045,-0.487,-0.405,-0.477,-0.023
"chr14-083","chr14",101000001,102000000,"chr14-083",-0.358,0.025,-0.106,-0.264,-0.339,-0.31,-0.32,0.022,0.01,-0.355,-0.314,-0.343,0.051
"chr14-084","chr14",102000001,103000000,"chr14-084",-0.559,-0.036,-0.159,-0.387,-0.443,-0.425,-0.216,-0.083,-0.064,-0.512,-0.469,-0.541,-0.065
